endTime,artistName,trackName,msPlayed
2021-11-20 21:01,The Deli,Sagittarius,400000
2021-11-20 22:14,DJ TIRED,Think Of U,519344
2021-11-20 22:26,DJ TIRED,Splittin' Wigs,393442
2021-11-20 22:34,DJ TIRED,Chrome Blast,507768
2021-11-20 22:41,DJ TIRED,Splittin' Wigs,393442
2021-11-20 22:47,DJ Aakmael,Jazz Piece 2,115641
2021-11-20 23:50,ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),292613
2021-11-20 23:54,Lipps Inc.,Funkytown,236726
2021-11-20 23:55,Weezer,Say It Ain't So,48120
2021-11-20 23:57,The New Mastersounds,Treasure,2950
2021-11-21 00:06,Talking Heads,"Uh-Oh, Love Comes to Town - 2005 Remaster",140970
2021-11-21 12:15,Peter Green,Slabo Day,314250
2021-11-21 12:19,Morbo y Mambo,Nigerian,279230
2021-11-21 12:20,Electro Deluxe,Staying Alive,58730
2021-11-21 12:21,Ian Dury,Hit Me With Your Rhythm Stick,7070
2021-11-21 12:21,Electro Deluxe,Do Your Thang,11890
2021-11-21 12:21,Mathieu Fiset,Chick's Pain,1250
2021-11-21 12:21,Electro Deluxe,Hopeful,42680
2021-11-21 12:27,The New Mastersounds,Treasure,307193
2021-11-21 12:31,The Rolling Stones,Beast Of Burden - Remastered 1994,265173
2021-11-21 12:35,Mathieu Fiset,Chick's Pain,217442
2021-11-21 12:58,The Clash,Rock the Casbah - Remastered,300
2021-11-21 12:58,Lipps Inc.,Funkytown,350
2021-11-21 12:58,ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),228761
2021-11-21 13:02,Weezer,Say It Ain't So,258826
2021-11-21 13:06,The Alan Parsons Project,Mammagamma - Instrumental,213893
2021-11-21 13:08,The Alan Parsons Project,Sirius - Chicago Bulls Theme Song,115280
2021-11-21 13:36,The Alan Parsons Project,Eye In The Sky,263280
2021-11-21 13:36,Korn,Word Up!,21410
2021-11-21 13:37,Rage Against The Machine,Freedom,40260
2021-11-21 13:39,Marco Strous,Tip Toe,158580
2021-11-21 13:39,Dennis Cruz,Fake,9760
2021-11-21 13:39,KI Creighton,Trivial,3110
2021-11-21 13:40,Marco Carola,Light House,18600
2021-11-21 13:40,Max Chapman,La Fiesta - Original Mix,5410
2021-11-21 13:40,Dennis Cruz,Bad Behaviour,1210
2021-11-21 13:40,Raffa Fl,Want It,3720
