,endTime,artistName,trackName,year,month,seconds_played,minutes_played
0,2021-03-15 19:12:00-03:00,Korn,Blind,2021,3,171.78,2.863
2,2021-03-16 13:09:00-03:00,Vulfpeck,Dean Town,2021,3,70.27,1.1711666666666667
3,2021-03-16 13:12:00-03:00,The Greyboy Allstars,V Neck Sweater,2021,3,155.28,2.588
5,2021-03-16 13:16:00-03:00,Rush,Tom Sawyer,2021,3,269.58,4.492999999999999
8,2021-03-16 13:19:00-03:00,Dire Straits,Money For Nothing,2021,3,121.2,2.02
13,2021-03-16 13:23:00-03:00,Stone Temple Pilots,Interstate Love Song - 2019 Remaster,2021,3,186.05,3.1008333333333336
17,2021-03-16 15:11:00-03:00,Portugal. The Man,How The Leopard Got Its Spots,2021,3,43.29,0.7215
18,2021-03-16 15:11:00-03:00,Tom Misch,Disco Yes,2021,3,197.63,3.293833333333333
23,2021-03-16 15:14:00-03:00,Portugal. The Man,AKA M80 The Wolf,2021,3,61.7,1.0283333333333333
24,2021-03-16 16:57:00-03:00,Beach House,Gila,2021,3,284.83,4.747166666666667
30,2021-03-16 16:59:00-03:00,Beach House,Turtle Island,2021,3,56.15,0.9358333333333333
42,2021-03-16 17:49:00-03:00,Yasuko Agawa,L.A. Night,2021,3,322.088,5.368133333333334
43,2021-03-16 18:10:00-03:00,Greyboy,Unwind Your Mind,2021,3,79.921,1.3320166666666668
44,2021-03-16 18:16:00-03:00,Pete Rock,A Little Soul,2021,3,341.2,5.6866666666666665
53,2021-03-17 09:23:00-03:00,Frankie Valli,Can't Take My Eyes off You,2021,3,51.68,0.8613333333333333
55,2021-03-17 10:19:00-03:00,Eric Clapton,Before You Accuse Me,2021,3,39.92,0.6653333333333333
57,2021-03-17 10:23:00-03:00,Eric Clapton,"Signe - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",2021,3,209.413,3.490216666666667
60,2021-03-17 10:35:00-03:00,Eric Clapton,"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",2021,3,280.0,4.666666666666667
61,2021-03-17 10:41:00-03:00,Eric Clapton,"Lonely Stranger - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",2021,3,327.76,5.462666666666666
74,2021-03-17 16:58:00-03:00,Doctorfunk,Gotta Get Funky,2021,3,113.56,1.8926666666666667
78,2021-03-17 17:01:00-03:00,The Greyboy Allstars,V Neck Sweater,2021,3,105.111,1.7518500000000001
80,2021-03-17 17:04:00-03:00,Doctorfunk,Gotta Get Funky,2021,3,215.586,3.5931
81,2021-03-17 17:08:00-03:00,Doctorfunk,Can't Fight The Funk,2021,3,241.706,4.028433333333333
82,2021-03-17 17:09:00-03:00,Doctorfunk,Back in Black,2021,3,52.386,0.8731000000000001
87,2021-03-17 17:16:00-03:00,Doctorfunk,Right Here,2021,3,255.093,4.25155
90,2021-03-17 17:22:00-03:00,Doctorfunk,Livin' In Bump City,2021,3,44.846,0.7474333333333333
94,2021-03-17 18:27:00-03:00,Red Hot Chili Peppers,Quixoticelixer - 2006 Remaster,2021,3,256.7,4.278333333333333
95,2021-03-17 20:02:00-03:00,Red Hot Chili Peppers,Over Funk - 2006 Remaster,2021,3,38.36,0.6393333333333333
123,2021-03-17 20:18:00-03:00,The Meters,Stormy,2021,3,34.27,0.5711666666666667
129,2021-03-17 20:20:00-03:00,The Meters,Art,2021,3,51.26,0.8543333333333333
131,2021-03-17 22:19:00-03:00,Stone Temple Pilots,Interstate Love Song - 2019 Remaster,2021,3,202.263,3.37105
133,2021-03-17 22:31:00-03:00,Las Pelotas,Será,2021,3,169.2,2.82
139,2021-03-18 10:36:00-03:00,Dream Theater,Honor Thy Father,2021,3,84.77,1.4128333333333332
140,2021-03-18 10:41:00-03:00,The Brothers Johnson,Strawberry Letter 23,2021,3,295.33,4.922166666666667
141,2021-03-18 10:48:00-03:00,Oddisee,Beach Dr.,2021,3,322.857,5.38095
144,2021-03-18 10:51:00-03:00,The Greyboy Allstars,V Neck Sweater,2021,3,155.28,2.588
145,2021-03-18 10:57:00-03:00,Billy Cobham,Red Baron,2021,3,394.4,6.573333333333333
159,2021-03-18 11:08:00-03:00,Willy Crook,Fool Times,2021,3,233.11,3.885166666666667
162,2021-03-18 11:13:00-03:00,The Brothers Johnson,I'll Be Good To You,2021,3,288.093,4.801550000000001
163,2021-03-18 11:30:00-03:00,The Meters,Just Kissed My Baby,2021,3,283.573,4.726216666666667
164,2021-03-18 11:36:00-03:00,The Dynamics,Move on Up,2021,3,359.213,5.986883333333334
166,2021-03-18 11:38:00-03:00,Grateful Dead,Shakedown Street - 2013 Remaster,2021,3,131.25,2.1875
167,2021-03-18 11:42:00-03:00,The Poets Of Rhythm,More Mess on My Thing,2021,3,252.0,4.2
168,2021-03-18 11:44:00-03:00,The Motet,Cheap Shit,2021,3,93.04,1.5506666666666669
169,2021-03-18 18:36:00-03:00,Hector Gachan,Untitled '91,2021,3,244.0,4.066666666666666
171,2021-03-18 18:39:00-03:00,Miel De Montagne,Pourquoi pas,2021,3,192.161,3.2026833333333333
172,2021-03-18 18:44:00-03:00,Loyle Carner,Damselfly,2021,3,172.653,2.87755
173,2021-03-18 18:48:00-03:00,Hector Gachan,Untitled '91,2021,3,244.0,4.066666666666666
174,2021-03-18 18:53:00-03:00,MGMT,Kids,2021,3,302.84,5.047333333333333
175,2021-03-18 19:00:00-03:00,Kevin Morby,City Music,2021,3,404.373,6.7395499999999995
177,2021-03-18 19:03:00-03:00,Lo' Pibitos,Anda Corriendo el Rumor,2021,3,199.81,3.3301666666666665
178,2021-03-18 19:07:00-03:00,LEISURE,All over You,2021,3,234.924,3.9154
179,2021-03-18 19:11:00-03:00,Sports,Panama,2021,3,198.546,3.3091
180,2021-03-18 19:14:00-03:00,Men I Trust,Show Me How,2021,3,215.11,3.585166666666667
181,2021-03-18 19:16:00-03:00,Crumb,Recently Played,2021,3,120.454,2.0075666666666665
182,2021-03-18 19:21:00-03:00,Parcels,Hideout,2021,3,266.454,4.4409
184,2021-03-18 20:18:00-03:00,RALPH TV,Taxi Boy,2021,3,163.404,2.7234
185,2021-03-18 20:25:00-03:00,Pink Floyd,Comfortably Numb,2021,3,403.33,6.722166666666666
186,2021-03-18 20:31:00-03:00,Pink Floyd,Money,2021,3,84.09,1.4015
187,2021-03-18 20:36:00-03:00,Tom Misch,Disco Yes,2021,3,271.62,4.527
188,2021-03-18 20:37:00-03:00,Stone Temple Pilots,Interstate Love Song - 2019 Remaster,2021,3,71.61,1.1935
189,2021-03-18 20:43:00-03:00,Creed,My Sacrifice,2021,3,290.57,4.842833333333333
197,2021-03-19 09:43:00-03:00,The Greyboy Allstars,V Neck Sweater,2021,3,155.28,2.588
199,2021-03-19 09:45:00-03:00,Billy Cobham,Red Baron,2021,3,80.87,1.3478333333333334
201,2021-03-19 09:50:00-03:00,Average White Band,School Boy Crush,2021,3,299.533,4.992216666666667
206,2021-03-19 09:53:00-03:00,CHIC,What About Me,2021,3,195.03,3.2505
207,2021-03-19 10:43:00-03:00,The Temptations,Shakey Ground,2021,3,155.3,2.5883333333333334
209,2021-03-19 10:49:00-03:00,The New Mastersounds,MRG,2021,3,257.106,4.2851
210,2021-03-19 10:52:00-03:00,The New Mastersounds,102%,2021,3,203.457,3.3909499999999997
211,2021-03-19 10:55:00-03:00,Average White Band,Pick up the Pieces,2021,3,155.345,2.5890833333333334
213,2021-03-19 11:01:00-03:00,The Greyboy Allstars,Still Waiting,2021,3,134.63,2.2438333333333333
215,2021-03-19 11:03:00-03:00,The Meters,Here Comes the Meter Man,2021,3,56.8,0.9466666666666667
216,2021-03-19 11:07:00-03:00,Doctorfunk,Gotta Get Funky,2021,3,242.24,4.037333333333334
220,2021-03-19 11:11:00-03:00,Doctorfunk,Can't Fight The Funk,2021,3,133.73,2.228833333333333
222,2021-03-19 11:51:00-03:00,Al Green,Love and Happiness,2021,3,141.443,2.3573833333333334
224,2021-03-19 11:56:00-03:00,Korn,Word Up!,2021,3,172.666,2.8777666666666666
225,2021-03-19 11:58:00-03:00,Korn,Coming Undone,2021,3,68.043,1.13405
228,2021-03-19 11:59:00-03:00,Angels & Airwaves,The War,2021,3,90.5,1.5083333333333333
229,2021-03-19 12:01:00-03:00,Bloc Party,Helicopter,2021,3,108.16,1.8026666666666666
236,2021-03-19 12:07:00-03:00,Muse,Time is Running Out,2021,3,237.039,3.95065
237,2021-03-19 12:09:00-03:00,Korn,Y'all Want a Single,2021,3,114.37,1.9061666666666668
238,2021-03-19 16:35:00-03:00,Average White Band,School Boy Crush,2021,3,284.956,4.749266666666667
